CountryName,continent,surfaceArea,agArea,agPercent,Rain,Drought
Peru,South America,1291317.0,36664.0,0.028392718441714933,8.199296312459088,1.335778965742963
Greece,Europe,128616.0,49530.0,0.3850998320582198,15.771714112658994,1.1335554209569958
Guinea-Bissau,Africa,29067.0,1708.0,0.05876079402759143,0.5889929742388759,0.0
Kenya,Africa,570492.0,78191.0,0.13705888951992315,15.613574452302695,4.633602332749294
Sudan,Africa,1842976.0,237824.0,0.1290434601427257,4.748843682723359,5.4300911598493
Greenland,North America,2150800.0,0.0,0.0,,
Ecuador,South America,255037.0,35932.0,0.1408893611515192,9.02763553378604,1.7739340977401759
Myanmar,Asia,662530.0,163326.0,0.24651864821215644,6.682836780426876,1.3242717019947834
Japan,Asia,368996.0,71488.0,0.19373651746902407,15.096673567591763,0.0
Algeria,Africa,2308762.0,77468.0,0.03355391330938399,9.027585583724893,6.257564413693396
Brazil,South America,8481259.0,1381284.0,0.16286308436047053,13.415898540778,2.137561138766539
Chile,South America,734524.0,31491.0,0.04287266311243744,7.934902035502207,0.708678670096218
Iran,Asia,1621051.0,166623.0,0.1027870190388828,10.481686201784868,2.0890453298764275
Liberia,Africa,96101.0,3232.0,0.03363128375355095,11.47710396039604,2.196163366336634
Namibia,Africa,775248.0,6988.0,0.009013889748828762,7.059244419004007,6.547366914710933
Mexico,North America,1956179.0,393865.0,0.20134404878081197,19.2555850354817,2.9585543269902126
Libya,Africa,1621225.0,16776.0,0.010347730882511681,6.024141630901288,6.093109203624225
Pakistan,Asia,788192.0,202911.0,0.2574385428931022,16.576154077403395,5.983672644657017
Djibouti,Africa,21663.0,0.0,0.0,,
Afghanistan,Asia,641839.0,74840.0,0.11660245014715528,8.744762159273115,4.393452699091395
Venezuela,South America,910800.0,26801.0,0.029425779534475185,16.985933360695498,5.009328010148875
Somalia,Africa,632524.0,15086.0,0.023850478400819573,9.757192098634496,7.4834946307835075
Sri Lanka,Asia,65821.0,30122.0,0.4576351012594765,22.571675187570545,0.23557532700351902
USA,North America,9292905.0,1300692.0,0.13996613545495193,15.742787685324428,1.6663153152321994
Mongolia,Asia,1564559.0,18886.0,0.012071133143588705,3.667743301916764,4.817007306999894
Portugal,Europe,91283.0,41260.0,0.4520009202151551,15.0,25.0
U.A.E.,Asia,70655.0,1398.0,0.019786285471658057,13.48211731044349,0.5793991416309013
Faroe Islands,Europe,662.0,0.0,0.0,,
Ghana,Africa,238841.0,96768.0,0.4051565685958441,9.657727761243386,1.6218687996031746
Viet Nam,Asia,326564.0,127448.0,0.390269594933918,13.485460736928003,1.3223589228548114
North Korea,Asia,122209.0,23211.0,0.1899287286533725,8.545904958855715,0.10072810305458618
India,Asia,2955194.0,2273023.0,0.7691620245574402,14.748259036534167,3.640023440149968
Honduras,North America,112439.0,16366.0,0.14555447842830335,10.861114505682513,0.0
Nepal,Asia,147437.0,26499.0,0.17973100375075457,24.40476999132043,1.9963394845088493
Australia,Oceania,7680495.0,312448.0,0.04068071133436061,6.449460390208931,9.048296036460467
Madagascar,Africa,588167.0,20757.0,0.03529099728478476,16.422604422604422,5.545839957604663
Malaysia,Asia,328250.0,63045.0,0.19206397562833205,11.69678800856531,0.038639067332857484
Spain,Europe,505810.0,229434.0,0.4535972005298432,11.117510918172547,5.638601950887837
Lebanon,Asia,10136.0,3103.0,0.30613654301499604,6.0,0.0
Congo,Africa,340600.0,8042.0,0.023611274221961246,6.014921661278289,1.2429743844814722
Italy,Europe,301043.0,152868.0,0.5077945675534724,12.905310463929665,0.3211463484836591
Central Africa,Africa,619590.0,6951.0,0.011218709146370987,4.989497913969213,0.0
Colombia,South America,1137527.0,59417.0,0.05223348544693884,12.512109328979921,0.1441338337512833
Côte d'Ivoire,Africa,321764.0,78430.0,0.24375007769669696,8.4071018742828,1.2607548132092312
,,,,,,
Kuril islands,Asia,4899.0,0.0,0.0,,
Kuwait,Asia,17235.0,65.0,0.0037713954163040323,0.0,0.0
Latvia,Europe,64563.0,19529.0,0.30247974846274184,3.0,3.0
Bosnia Herzeg.,Europe,51145.0,14356.0,0.280692149770261,4.668988576205071,0.0
Botswana,Africa,578257.0,8448.0,0.014609421070562052,9.973958333333334,18.883049242424242
Indonesia,Asia,1869422.0,300859.0,0.1609369099111918,15.000365619775376,0.0
Finland,Europe,333939.0,28158.0,0.08432078912615777,10.192840400596634,3.0927622700475887
New Zealand,Oceania,268489.0,43795.0,0.16311655226098648,16.442698938234958,0.0
Morocco,Africa,414066.0,80604.0,0.1946646186839779,8.677187236365441,7.112785965957024
Mozambique,Africa,787227.0,57959.0,0.07362425323318433,9.132283165686088,2.609085733018168
Tajikistan,Asia,141825.0,19472.0,0.13729596333509608,8.480947000821693,2.896312654067379
Germany,Europe,356600.0,140762.0,0.394733595064498,12.149081428226367,3.6723618590244524
Russian Fed.,Asia,16924286.0,837130.0,0.049463238803693105,8.873086617371257,7.440242256280387
Thailand,Asia,514159.0,302635.0,0.58860196942969,10.128061856692055,1.2858195516050688
Equat. Guinea,Africa,26961.0,1.0,3.709061236601016e-05,0.0,0.0
Tanzania,Africa,939289.0,169954.0,0.18093898682939968,9.439871965355332,4.820168986902338
Canada,North America,9845891.0,344173.0,0.03495600347393649,17.13451955847786,2.319679347304989
Oman,Asia,308133.0,622.0,0.0020186088474781995,9.183279742765274,2.6784565916398715
Georgia,Europe,69784.0,9555.0,0.1369225037257824,18.2421768707483,4.177708006279435
Kiribati,Oceania,540.0,0.0,0.0,,
Cuba,North America,109261.0,52407.0,0.47964964625987316,11.165416833629095,1.2156772950178412
